Sample DMT-913-170106-MOSAIC.  Mon Jan 09 15:27:02 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,7.717,,,,,mean:,4.467,,,,,mean:,3.250,,,,,mean:,0.394
mode:,6.450,,,,,mode:,5.450,,,,,mode:,0.750,,,,,mode:,0.150
s.d.:,1.788,,,,,s.d.:,1.539,,,,,s.d.:,2.272,,,,,s.d.:,0.217

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
0.000, 0, 0, 0.0, 0.0,,0.000, 0, 0, 0.0, 0.0 ,,0.000, 407087227, 23430, 0.0017273666756987128, 0.0017273666756987128 ,,0.000, 0, 0, 0.0, 0.0 ,,
0.100, 0, 0, 0.0, 0.0,,0.100, 0, 0, 0.0, 0.0 ,,0.100, 1341005449, 2384269, 0.17577920685025586, 0.17750657352595456 ,,0.004, 60, 35, 2.580359950894364E-6, 2.580359950894364E-6 ,,
0.200, 0, 0, 0.0, 0.0,,0.200, 0, 0, 0.0, 0.0 ,,0.200, 422734508, 12134571, 0.8946160294195479, 1.0721226029455024 ,,0.008, 2075, 1297, 9.562076732314258E-5, 9.820112727403695E-5 ,,
0.300, 0, 0, 0.0, 0.0,,0.300, 0, 0, 0.0, 0.0 ,,0.300, 216875719, 21460617, 1.5821747608080787, 2.654297363753581 ,,0.012, 21496, 12610, 9.296668280222266E-4, 0.0010278679552962636 ,,
0.400, 0, 0, 0.0, 0.0,,0.400, 0, 0, 0.0, 0.0 ,,0.400, 141383521, 27166481, 2.0028371308323623, 4.657134494585943 ,,0.016, 116941, 63420, 0.004675612231020588, 0.005703480186316851 ,,
0.500, 0, 0, 0.0, 0.0,,0.500, 0, 0, 0.0, 0.0 ,,0.500, 104354629, 30371262, 2.239108232083425, 6.896242726669368 ,,0.020, 425099, 207561, 0.01530234547907386, 0.02100582566539071 ,,
0.600, 0, 0, 0.0, 0.0,,0.600, 7311, 0, 0.0, 0.0 ,,0.600, 83498728, 31966672, 2.3567291483478927, 9.252971875017261 ,,0.023, 1165220, 498074, 0.036720291490907414, 0.05772611715629813 ,,
0.700, 16968, 0, 0.0, 0.0,,0.700, 808325, 2, 1.4744914005110652E-7, 1.4744914005110652E-7 ,,0.700, 70217963, 32548314, 2.3996104547066954, 11.652582329723955 ,,0.027, 2618828, 957279, 0.0705749826694916, 0.12830109982578972 ,,
0.800, 803701, 0, 0.0, 0.0,,0.800, 17200315, 38, 2.801533660971024E-6, 2.9489828010221302E-6 ,,0.800, 61048860, 32532782, 2.3984653646850584, 14.051047694409014 ,,0.031, 5085842, 1551735, 0.11440099566860189, 0.24270209549439162 ,,
0.900, 12147025, 0, 0.0, 0.0,,0.900, 150442064, 1564, 1.153052275199653E-4, 1.1825421032098743E-4 ,,0.900, 54376552, 32165350, 2.3713765984714295, 16.422424292880443 ,,0.035, 8846997, 2224184, 0.16397700905771515, 0.40667910455210676 ,,
1.000, 110911785, 0, 0.0, 0.0,,1.000, 431213352, 14250, 0.001050575122864134, 0.0011688293331851213 ,,1.000, 49282847, 31620803, 2.3312301050377244, 18.75365439791817 ,,0.039, 14124766, 2915581, 0.2149499555996726, 0.6216290601517793 ,,
1.100, 340437699, 0, 0.0, 0.0,,1.100, 443735060, 75903, 0.005595916038649569, 0.006764745371834691 ,,1.100, 45297440, 30994912, 2.285086560179861, 21.038740958098032 ,,0.043, 21031822, 3581413, 0.2640381335089268, 0.8856671936607061 ,,
1.200, 386375751, 0, 0.0, 0.0,,1.200, 373978479, 276109, 0.020356017305185485, 0.027120762677020176 ,,1.200, 42045575, 30302774, 2.2340589837315146, 23.272799941829543 ,,0.047, 29506381, 4189944, 0.30890181983114673, 1.194569013491853 ,,
1.300, 326993168, 0, 0.0, 0.0,,1.300, 293957649, 761459, 0.056138237367087764, 0.08325900004410794 ,,1.300, 39327887, 29588640, 2.1814097616408863, 25.454209703470433 ,,0.051, 39364210, 4747641, 0.3500177913606877, 1.5445868048525406 ,,
1.400, 269197394, 0, 0.0, 0.0,,1.400, 220062325, 1680775, 0.12391441418469928, 0.20717341422880722 ,,1.400, 37034730, 28889479, 2.1298644175372505, 27.58407412100768 ,,0.055, 50230471, 5245457, 0.38671906191252853, 1.931305866765069 ,,
1.500, 216423312, 0, 0.0, 0.0,,1.500, 164940469, 3202492, 0.2361023457102741, 0.4432757599390813 ,,1.500, 35051853, 28202317, 2.079203694549351, 29.663277815557034 ,,0.059, 61623647, 5694926, 0.4198559706773439, 2.351161837442413 ,,
1.600, 171761403, 0, 0.0, 0.0,,1.600, 127599366, 5386791, 0.39713885029252005, 0.8404146102316014 ,,1.600, 33314879, 27533086, 2.0298649268265803, 31.693142742383614 ,,0.062, 73048945, 6101283, 0.4498144657792177, 2.800976303221631 ,,
1.700, 136301436, 0, 0.0, 0.0,,1.700, 102556377, 8081005, 0.5957686189993461, 1.4361832292309473 ,,1.700, 31799811, 26908067, 1.9837856697937788, 33.67692841217739 ,,0.066, 83900558, 6457152, 0.47605075478964126, 3.277027058011272 ,,
1.800, 109399100, 0, 0.0, 0.0,,1.800, 86330960, 11007169, 0.811498801723599, 2.2476820309545467 ,,1.800, 30411439, 26282007, 1.937629665483581, 35.61455807766097 ,,0.070, 93746571, 6785958, 0.5002918357614633, 3.7773188937727356 ,,
1.900, 89468813, 0, 0.0, 0.0,,1.900, 75031702, 13741888, 1.01311478413931, 3.2607968150938564 ,,1.900, 29155312, 25673574, 1.8927732041692236, 37.5073312818302 ,,0.074, 102108889, 7074025, 0.5215294514750144, 4.29884834524775 ,,
2.000, 74431772, 0, 0.0, 0.0,,2.000, 66665352, 16022976, 1.1812870161297593, 4.4420838312236155 ,,2.000, 28016660, 25081737, 1.84914027581901, 39.35647155764921 ,,0.078, 108725290, 7329267, 0.5403470581774766, 4.839195403425227 ,,
2.100, 62831501, 0, 0.0, 0.0,,2.100, 60036551, 17754588, 1.3089493662808476, 5.751033197504463 ,,2.100, 26975993, 24515021, 1.8073593823924088, 41.16383094004161 ,,0.082, 113430863, 7552993, 0.5568411613310136, 5.39603656475624 ,,
2.200, 53452216, 0, 0.0, 0.0,,2.200, 54662580, 18999623, 1.4007390363226122, 7.151772233827076 ,,2.200, 26015154, 23972522, 1.7673638768781161, 42.93119481691973 ,,0.086, 116127802, 7756050, 0.5718114513466923, 5.967848016102932 ,,
2.300, 45942396, 0, 0.0, 0.0,,2.300, 50106720, 19916508, 1.4683359887104916, 8.620108222537567 ,,2.300, 25142791, 23457511, 1.729394912344686, 44.660589729264416 ,,0.090, 116899790, 7929757, 0.5846179252321212, 6.552465941335053 ,,
2.400, 39870290, 0, 0.0, 0.0,,2.400, 46309527, 20687032, 1.5251425393048612, 10.145250761842428 ,,2.400, 24312398, 22937598, 1.6910645499689905, 46.35165427923341 ,,0.094, 115922358, 8083261, 0.5959349416293237, 7.148400882964377 ,,
2.500, 34685627, 0, 0.0, 0.0,,2.500, 43298316, 21378232, 1.5761009621065236, 11.721351723948953 ,,2.500, 23545675, 22432900, 1.6538559069262337, 48.00551018615964 ,,0.098, 113319150, 8216082, 0.6057271127446877, 7.754127995709065 ,,
2.600, 30342150, 0, 0.0, 0.0,,2.600, 40801742, 21991376, 1.6213047398702713, 13.342656463819223 ,,2.600, 22825601, 21935479, 1.617183757579553, 49.62269394373919 ,,0.102, 109476364, 8330161, 0.6141375379686328, 8.368265533677699 ,,
2.700, 26930596, 0, 0.0, 0.0,,2.700, 39068395, 22772921, 1.6789238089508924, 15.021580272770116 ,,2.700, 22151102, 21443805, 1.5809353033368092, 51.203629247076 ,,0.105, 104617058, 8424374, 0.6210833508844502, 8.989348884562148 ,,
2.800, 23747904, 0, 0.0, 0.0,,2.800, 37405056, 23327697, 1.7198244310113888, 16.741404703781505 ,,2.800, 21522253, 20959244, 1.5452112519606571, 52.74884049903666 ,,0.109, 99048714, 8504244, 0.6269717322923911, 9.616320616854539 ,,
2.900, 21155834, 0, 0.0, 0.0,,2.900, 36198081, 23931628, 1.7643489843114912, 18.505753688092994 ,,2.900, 20914643, 20461338, 1.508503346197514, 54.257343845234175 ,,0.113, 93098454, 8577447, 0.6323685919919717, 10.24868920884651 ,,
3.000, 19036627, 0, 0.0, 0.0,,3.000, 35330675, 24584374, 1.8124724024973908, 20.318226090590386 ,,3.000, 20342605, 19968239, 1.4721498344424837, 55.72949367967666 ,,0.117, 86965339, 8633130, 0.6364737972247047, 10.885163006071215 ,,
3.100, 17260458, 0, 0.0, 0.0,,3.100, 34711764, 25265247, 1.8626694716643994, 22.180895562254786 ,,3.100, 19818498, 19497681, 1.4374581482203994, 57.16695182789706 ,,0.121, 80837793, 8681446, 0.6400358735500592, 11.525198879621275 ,,
