Sample DMT-914-170111-MOSAIC.  Fri Jan 13 08:15:16 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,7.704,,,,,mean:,4.317,,,,,mean:,3.388,,,,,mean:,0.416
mode:,6.350,,,,,mode:,5.350,,,,,mode:,0.850,,,,,mode:,0.201
s.d.:,1.715,,,,,s.d.:,1.544,,,,,s.d.:,2.177,,,,,s.d.:,0.215

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
0.000, 0, 0, 0.0, 0.0,,0.000, 452070, 245222, 0.01869043517997181, 0.01869043517997181 ,,0.000, 573122616, 24243, 0.001847763333094325, 0.001847763333094325 ,,0.000, 0, 0, 0.0, 0.0 ,,
0.100, 0, 0, 0.0, 0.0,,0.100, 0, 0, 0.0, 0.01869043517997181 ,,0.100, 1789311971, 2343897, 0.1786481430990302, 0.18049590643212451 ,,0.004, 79, 41, 3.1255396963731663E-6, 3.1255396963731663E-6 ,,
0.200, 0, 0, 0.0, 0.0,,0.200, 0, 0, 0.0, 0.01869043517997181 ,,0.200, 527433990, 11151894, 0.8499798221241021, 1.0304757285562265 ,,0.008, 2799, 1208, 9.208907202972647E-5, 9.521461172609963E-5 ,,
0.300, 0, 0, 0.0, 0.0,,0.300, 0, 0, 0.0, 0.01869043517997181 ,,0.300, 271475404, 18588711, 1.4168023180005422, 2.4472780465567685 ,,0.012, 28028, 11501, 8.767520011704338E-4, 9.719666128965334E-4 ,,
0.400, 0, 0, 0.0, 0.0,,0.400, 0, 0, 0.0, 0.01869043517997181 ,,0.400, 170151017, 22566406, 1.71997597518953, 4.167254021746299 ,,0.016, 153219, 59375, 0.004526315109076994, 0.005498281721973528 ,,
0.500, 0, 0, 0.0, 0.0,,0.500, 6, 0, 0.0, 0.01869043517997181 ,,0.500, 119935418, 24653957, 1.8790858293232755, 6.0463398510695745 ,,0.020, 547127, 192450, 0.014670978404073557, 0.020169260126047084 ,,
0.600, 64, 0, 0.0, 0.0,,0.600, 91834, 0, 0.0, 0.01869043517997181 ,,0.600, 91693297, 25659876, 1.9557553934969714, 8.002095244566545 ,,0.023, 1478543, 461351, 0.035170021084425775, 0.05533928121047286 ,,
0.700, 150246, 0, 0.0, 0.0,,0.700, 1244144, 0, 0.0, 0.01869043517997181 ,,0.700, 74047182, 26075864, 1.9874613446336806, 9.989556589200227 ,,0.027, 3271928, 883096, 0.06732077082215507, 0.12266005203262792 ,,
0.800, 1347504, 0, 0.0, 0.0,,0.800, 26519331, 26, 1.9816791098648045E-6, 0.018692416859081674 ,,0.800, 62306011, 26152178, 1.993277877694843, 11.982834466895069 ,,0.031, 6260128, 1427103, 0.10879187993446914, 0.23145193196709707 ,,
0.900, 18295090, 0, 0.0, 0.0,,0.900, 300503620, 963, 7.339834549230025E-5, 0.018765815204573974 ,,0.900, 54103221, 26034321, 1.984295002508253, 13.967129469403321 ,,0.035, 10772601, 2036787, 0.15526972247699541, 0.3867216544440925 ,,
