Sample DMT-915-170206-MOSAIC.  Wed Feb 08 10:34:38 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,6.674,,,,,mean:,4.475,,,,,mean:,2.198,,,,,mean:,0.315
mode:,6.650,,,,,mode:,4.050,,,,,mode:,0.350,,,,,mode:,0.240
s.d.:,1.408,,,,,s.d.:,1.253,,,,,s.d.:,1.459,,,,,s.d.:,0.173

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
0.000, 0, 0, 0.0, 0.0,,0.000, 0, 0, 0.0, 0.0 ,,0.000, 300654319, 68858, 0.007272778600182834, 0.007272778600182834 ,,0.000, 0, 0, 0.0, 0.0 ,,
0.100, 0, 0, 0.0, 0.0,,0.100, 0, 0, 0.0, 0.0 ,,0.100, 1907209282, 5881940, 0.6212502158000438, 0.6285229944002266 ,,0.004, 120, 19, 2.0067790729250607E-6, 2.0067790729250607E-6 ,,
0.200, 0, 0, 0.0, 0.0,,0.200, 0, 0, 0.0, 0.0 ,,0.200, 700447236, 22482585, 2.374609530697836, 3.0031325250980623 ,,0.008, 4059, 853, 9.009381837921457E-5, 9.210059745213963E-5 ,,
0.300, 0, 0, 0.0, 0.0,,0.300, 0, 0, 0.0, 0.0 ,,0.300, 245371559, 28363849, 2.9957883474108638, 5.9989208725089265 ,,0.012, 43770, 8749, 9.240689531063872E-4, 0.0010161695505585269 ,,
0.400, 0, 0, 0.0, 0.0,,0.400, 0, 0, 0.0, 0.0 ,,0.400, 125843182, 27900217, 2.9468195581930536, 8.94574043070198 ,,0.016, 247007, 48654, 0.005138833106005048, 0.006155002656563575 ,,
0.500, 0, 0, 0.0, 0.0,,0.500, 0, 0, 0.0, 0.0 ,,0.500, 81345585, 27203416, 2.873223470572356, 11.818963901274337 ,,0.020, 922315, 170820, 0.018042000065108362, 0.024197002721671936 ,,
0.600, 0, 0, 0.0, 0.0,,0.600, 287, 0, 0.0, 0.0 ,,0.600, 60739442, 26949099, 2.846362521441352, 14.665326422715689 ,,0.023, 2569711, 447647, 0.04728045429777288, 0.07147745701944482 ,,
0.700, 117, 0, 0.0, 0.0,,0.700, 25058, 0, 0.0, 0.0 ,,0.700, 49920161, 26985459, 2.850202862867223, 17.51552928558291 ,,0.027, 5804410, 936925, 0.09895797278422698, 0.1704354298036718 ,,
0.800, 18251, 0, 0.0, 0.0,,0.800, 537510, 0, 0.0, 0.0 ,,0.800, 43732488, 27174638, 2.870183939616533, 20.385713225199446 ,,0.031, 11177281, 1649694, 0.17424059978579134, 0.34467602958946314 ,,
0.900, 322348, 0, 0.0, 0.0,,0.900, 26375841, 7, 7.393396592269653E-7, 7.393396592269653E-7 ,,0.900, 39946442, 27400485, 2.894037888736686, 23.27975111393613 ,,0.035, 19016543, 2526611, 0.26686053053801373, 0.6115365601274768 ,,
