Sample DMT-916-170112-MOSAIC.  Mon Jan 16 12:51:21 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,7.602,,,,,mean:,4.229,,,,,mean:,3.373,,,,,mean:,0.430
mode:,7.550,,,,,mode:,3.550,,,,,mode:,2.950,,,,,mode:,0.537
s.d.:,1.431,,,,,s.d.:,1.442,,,,,s.d.:,1.801,,,,,s.d.:,0.192

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
0.000, 0, 0, 0.0, 0.0,,0.000, 0, 0, 0.0, 0.0 ,,0.000, 324518892, 15006, 0.0011901639691105131, 0.0011901639691105131 ,,0.000, 0, 0, 0.0, 0.0 ,,
0.100, 0, 0, 0.0, 0.0,,0.100, 0, 0, 0.0, 0.0 ,,0.100, 1845189371, 1669458, 0.13240895372139805, 0.13359911769050856 ,,0.004, 31, 10, 7.931253959153094E-7, 7.931253959153094E-7 ,,
0.200, 0, 0, 0.0, 0.0,,0.200, 0, 0, 0.0, 0.0 ,,0.200, 657569786, 8597879, 0.6819196185906924, 0.815518736281201 ,,0.008, 1290, 510, 4.044939519168078E-5, 4.1242520587596085E-5 ,,
0.300, 0, 0, 0.0, 0.0,,0.300, 0, 0, 0.0, 0.0 ,,0.300, 236455951, 14046028, 1.114026151853752, 1.929544888134953 ,,0.012, 14298, 5502, 4.363775928326032E-4, 4.776201134201993E-4 ,,
0.400, 0, 0, 0.0, 0.0,,0.400, 0, 0, 0.0, 0.0 ,,0.400, 118759817, 16046235, 1.2726676487325095, 3.2022125368674623 ,,0.016, 81245, 28795, 0.002283804577538133, 0.0027614246909583324 ,,
0.500, 0, 0, 0.0, 0.0,,0.500, 88, 0, 0.0, 0.0 ,,0.500, 73243751, 16648213, 1.32041205269074, 4.522624589558203 ,,0.020, 310098, 100464, 0.007968054977523564, 0.010729479668481897 ,,
0.600, 27, 0, 0.0, 0.0,,0.600, 1654, 0, 0.0, 0.0 ,,0.600, 52223333, 16806412, 1.3329592171415805, 5.855583806699783 ,,0.023, 894073, 257678, 0.020437096576866508, 0.031166576245348406 ,,
0.700, 593, 0, 0.0, 0.0,,0.700, 93881, 0, 0.0, 0.0 ,,0.700, 40846955, 16896750, 1.3401241533432002, 7.195707960042983 ,,0.027, 2092333, 524435, 0.041594271700684526, 0.07276084794603294 ,,
0.800, 67206, 0, 0.0, 0.0,,0.800, 5233634, 0, 0.0, 0.0 ,,0.800, 34294745, 17046342, 1.3519886747657766, 8.54769663480876 ,,0.031, 4218996, 899866, 0.07137065775207257, 0.1441315056981055 ,,
0.900, 2756804, 0, 0.0, 0.0,,0.900, 66824288, 1, 7.931254191900821E-8, 7.931254191900821E-8 ,,0.900, 30327609, 17270279, 1.3697496869442853, 9.917446321753046 ,,0.035, 7582382, 1352460, 0.10726703729596193, 0.25139854299406744 ,,
1.000, 35092568, 0, 0.0, 0.0,,1.000, 499615236, 74, 5.869128102006608E-6, 5.948440643925615E-6 ,,1.000, 27847909, 17606126, 1.3963865654284822, 11.313832887181528 ,,0.039, 12452326, 1835478, 0.14557642154438402, 0.39697496453845144 ,,
1.100, 293441167, 0, 0.0, 0.0,,1.100, 569416494, 1503, 1.1920675050426934E-4, 1.2515519114819496E-4 ,,1.100, 26318389, 18022652, 1.4294223002943842, 12.743255187475912 ,,0.043, 19037658, 2307888, 0.18304445837281916, 0.5800194229112706 ,,
1.200, 562929180, 0, 0.0, 0.0,,1.200, 444114671, 10332, 8.194571831071928E-4, 9.446123742553878E-4 ,,1.200, 25417404, 18500877, 1.467351539540544, 14.210606727016456 ,,0.047, 27385594, 2734908, 0.21691249902919468, 0.7969319219404652 ,,
1.300, 394875366, 0, 0.0, 0.0,,1.300, 390416118, 53855, 0.004271376945048187, 0.005215989319303575 ,,1.300, 24906675, 19018625, 1.50841544828898, 15.719022175305437 ,,0.051, 37458295, 3105035, 0.24626821137058927, 1.0432001333110545 ,,
1.400, 370690893, 0, 0.0, 0.0,,1.400, 310245902, 222255, 0.01762760900420917, 0.022843598323512744 ,,1.400, 24642524, 19546098, 1.5502506714849436, 17.26927284679038 ,,0.055, 49017595, 3411506, 0.27057520469174534, 1.3137753380027999 ,,
1.500, 324236930, 0, 0.0, 0.0,,1.500, 224627925, 684419, 0.05428301062766568, 0.07712660895117843 ,,1.500, 24544176, 20100860, 1.5942502545738204, 18.8635231013642 ,,0.059, 61713220, 3668216, 0.2909355267302872, 1.6047108647330872 ,,
1.600, 254999044, 0, 0.0, 0.0,,1.600, 163817981, 1659744, 0.13163851557482237, 0.2087651245260008 ,,1.600, 24560863, 20664867, 1.638983082091221, 20.50250618345542 ,,0.062, 75007019, 3874381, 0.3072869964551752, 1.9119978611882624 ,,
