Sample DMT-917-170109-MOSAIC.  Wed Jan 11 14:56:24 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,8.263,,,,,mean:,4.140,,,,,mean:,4.123,,,,,mean:,0.482
mode:,7.950,,,,,mode:,2.250,,,,,mode:,3.150,,,,,mode:,0.650
s.d.:,1.975,,,,,s.d.:,1.900,,,,,s.d.:,2.325,,,,,s.d.:,0.219

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
0.000, 0, 0, 0.0, 0.0,,0.000, 276870, 161544, 0.01438985313754761, 0.01438985313754761 ,,0.000, 494739719, 17545, 0.0015628557748865498, 0.0015628557748865498 ,,0.000, 0, 0, 0.0, 0.0 ,,
0.100, 0, 0, 0.0, 0.0,,0.100, 0, 0, 0.0, 0.01438985313754761 ,,0.100, 1543480863, 1585919, 0.14126888957835865, 0.1428317453532452 ,,0.004, 29, 21, 1.8708859901953512E-6, 1.8708859901953512E-6 ,,
0.200, 0, 0, 0.0, 0.0,,0.200, 0, 0, 0.0, 0.01438985313754761 ,,0.200, 376618819, 7235198, 0.6444896538471141, 0.7873213992003593 ,,0.008, 1144, 796, 7.09154880093095E-5, 7.278637399950485E-5 ,,
0.300, 0, 0, 0.0, 0.0,,0.300, 0, 0, 0.0, 0.01438985313754761 ,,0.300, 184244008, 11615625, 1.0346849022608482, 1.8220063014612073 ,,0.012, 11638, 7611, 6.780625367322294E-4, 7.508489107317343E-4 ,,
0.400, 0, 0, 0.0, 0.0,,0.400, 0, 0, 0.0, 0.01438985313754761 ,,0.400, 112287601, 13300636, 1.1847806088494695, 3.006786910310677 ,,0.016, 62695, 37746, 0.003362783932662558, 0.004113632843394293 ,,
0.500, 0, 0, 0.0, 0.0,,0.500, 20, 0, 0.0, 0.01438985313754761 ,,0.500, 76614045, 13637522, 1.2147893994210528, 4.22157630973173 ,,0.020, 226728, 122609, 0.010923212398660086, 0.015036845242054378 ,,
0.600, 1, 0, 0.0, 0.0,,0.600, 225628, 0, 0.0, 0.01438985313754761 ,,0.600, 56207252, 13497967, 1.2023582601982377, 5.423934569929967 ,,0.023, 622717, 292859, 0.02609075239060097, 0.04112759763265535 ,,
0.700, 327456, 0, 0.0, 0.0,,0.700, 4752596, 6, 5.344619349854261E-7, 0.014390387599482595 ,,0.700, 43778426, 13197535, 1.1755966821896473, 6.599531252119615 ,,0.027, 1419166, 561778, 0.05004869475237924, 0.09117629238503458 ,,
0.800, 4235174, 0, 0.0, 0.0,,0.800, 43135370, 190, 1.6924627941205157E-5, 0.0144073122274238 ,,0.800, 35935546, 12924650, 1.1512889080015645, 7.7508201601211795 ,,0.031, 2820664, 910149, 0.08108500062334803, 0.1722612930083826 ,,
0.900, 29565008, 0, 0.0, 0.0,,0.900, 292574117, 4151, 3.697585820207506E-4, 0.014777070809444551 ,,0.900, 30617948, 12732831, 1.1342022490170696, 8.885022409138248 ,,0.035, 5082531, 1306017, 0.11635280515509343, 0.28861409816347605 ,,
1.000, 208487430, 0, 0.0, 0.0,,1.000, 752066598, 44505, 0.003964371402754398, 0.01874144221219895 ,,1.000, 27002762, 12671093, 1.128702813860048, 10.013725222998296 ,,0.039, 8459783, 1707747, 0.15214285414753048, 0.44075695231100653 ,,
1.100, 609861406, 0, 0.0, 0.0,,1.100, 589314465, 219805, 0.019579567603245262, 0.03832100981544421 ,,1.100, 24505492, 12713247, 1.132457765261277, 11.146182988259573 ,,0.043, 13202728, 2084889, 0.18574236291487597, 0.6264993152258825 ,,
1.200, 570357525, 0, 0.0, 0.0,,1.200, 365040195, 739829, 0.06590173981638879, 0.104222749631833 ,,1.200, 22771245, 12853792, 1.144977090703365, 12.291160078962939 ,,0.047, 19514147, 2428728, 0.2163749137711988, 0.8428742289970813 ,,
1.300, 353601572, 0, 0.0, 0.0,,1.300, 228782844, 1948767, 0.17359029694262396, 0.27781304657445693 ,,1.300, 21499176, 13036632, 1.1612639274021541, 13.452424006365092 ,,0.051, 27459978, 2724056, 0.2426856289003613, 1.0855598578974426 ,,
1.400, 237797413, 0, 0.0, 0.0,,1.400, 153701764, 4207085, 0.37475446495802683, 0.6525675115324838 ,,1.400, 20550415, 13280270, 1.1829664668881505, 14.635390473253244 ,,0.055, 36999123, 2977066, 0.265226241489853, 1.3507860993872955 ,,
1.500, 167134180, 0, 0.0, 0.0,,1.500, 113988159, 7696194, 0.6855537895438709, 1.3381213010763549 ,,1.500, 19829553, 13556243, 1.2075493108187727, 15.842939784072016 ,,0.059, 47888279, 3187412, 0.2839659264657402, 1.634752025853036 ,,
1.600, 124481219, 0, 0.0, 0.0,,1.600, 92061609, 12170142, 1.0840796070612337, 2.4222009081375884 ,,1.600, 19294942, 13864863, 1.23504025121464, 17.077980035286657 ,,0.062, 59777345, 3358753, 0.2992306634393622, 1.9339826892923981 ,,
1.700, 96230040, 0, 0.0, 0.0,,1.700, 78728128, 16933772, 1.5084094249536713, 3.9306103330912596 ,,1.700, 18866234, 14165045, 1.261779559975939, 18.339759595262596 ,,0.066, 72183842, 3500921, 0.3118963834133666, 2.2458790727057645 ,,
1.800, 76934021, 0, 0.0, 0.0,,1.800, 70528543, 21344899, 1.9013393369347475, 5.831949670026007 ,,1.800, 18557612, 14489284, 1.2906617938655622, 19.630421389128156 ,,0.070, 84564463, 3618145, 0.32233984719025516, 2.5682189198960197 ,,
1.900, 62269911, 0, 0.0, 0.0,,1.900, 63881458, 24757073, 2.2052855233592408, 8.037235193385248 ,,1.900, 18347305, 14828301, 1.3208604075010546, 20.95128179662921 ,,0.074, 96269404, 3715401, 0.33100436565989516, 2.899223285555915 ,,
2.000, 51545124, 0, 0.0, 0.0,,2.000, 58692611, 27062729, 2.4106664178877004, 10.447901611272949 ,,2.000, 18209839, 15184644, 1.3526023690508064, 22.303884165680017 ,,0.078, 106784537, 3792599, 0.3378819207394714, 3.2371052062953862 ,,
2.100, 43127450, 0, 0.0, 0.0,,2.100, 53990675, 28287883, 2.519799447470223, 12.967701058743172 ,,2.100, 18100493, 15527076, 1.3831051806042949, 23.686989346284314 ,,0.082, 115592565, 3852246, 0.34319586058028956, 3.580301066875676 ,,
2.200, 36045246, 0, 0.0, 0.0,,2.200, 49752437, 28755860, 2.5614854296283354, 15.529186488371508 ,,2.200, 18040114, 15881337, 1.4146616838626067, 25.10165103014692 ,,0.086, 122335181, 3902576, 0.3476797506701244, 3.9279808175458 ,,
2.300, 30390895, 0, 0.0, 0.0,,2.300, 46134264, 28742345, 2.560281554119781, 18.089468042491287 ,,2.300, 17990188, 16213894, 1.4442848601480982, 26.545935890295016 ,,0.090, 126710681, 3936768, 0.3507259094213987, 4.278706726967199 ,,
2.400, 25792720, 0, 0.0, 0.0,,2.400, 43005662, 28515999, 2.5401193339304124, 20.6295873764217 ,,2.400, 17958965, 16526531, 1.472133622809438, 28.018069513104457 ,,0.094, 128679566, 3970901, 0.35376681187393855, 4.632473538841137 ,,
2.500, 22232501, 0, 0.0, 0.0,,2.500, 40331284, 28226135, 2.5142991215433095, 23.14388649796501 ,,2.500, 17945213, 16817595, 1.4980607275835376, 29.516130240687993 ,,0.098, 128271760, 3992873, 0.35572429315853726, 4.988197831999675 ,,
2.600, 19403294, 0, 0.0, 0.0,,2.600, 37846763, 27771203, 2.4737751487088446, 25.617661646673856 ,,2.600, 17938196, 17070904, 1.5206247306317415, 31.036754971319734 ,,0.102, 125677307, 4010590, 0.3573026973055987, 5.345500529305274 ,,
2.700, 17192555, 0, 0.0, 0.0,,2.700, 36064058, 27540614, 2.4532349748544524, 28.070896621528306 ,,2.700, 17922928, 17262170, 1.5376621300412285, 32.574417101360964 ,,0.105, 121249784, 4018533, 0.35801033765893786, 5.703510866964211 ,,
2.800, 15173370, 0, 0.0, 0.0,,2.800, 34186985, 26997813, 2.404883896059115, 30.47578051758742 ,,2.800, 17920925, 17415345, 1.5513064978564606, 34.12572359921742 ,,0.109, 115253494, 4024862, 0.3585741870604591, 6.062085054024671 ,,
2.900, 13635374, 0, 0.0, 0.0,,2.900, 32645712, 26535365, 2.3636904205740916, 32.83947093816151 ,,2.900, 17902275, 17505873, 1.5593704595315208, 35.685094058748945 ,,0.113, 108234209, 4030347, 0.3590628446631363, 6.421147898687807 ,,
3.000, 12446755, 0, 0.0, 0.0,,3.000, 31244547, 26063368, 2.321646348919539, 35.161117287081055 ,,3.000, 17891497, 17568195, 1.5649219156502143, 37.25001597439916 ,,0.117, 100496128, 4028362, 0.3588860013921583, 6.780033900079965 ,,
